Company name,LA type,Start date,End date
GECKKO BEACH PTY LTD,South West DAMA,03-Jun-2024,02-Jun-2029
S & R FEWSTER PTY LTD,East Kimberley DAMA,03-Jun-2024,02-Jun-2029
SEA DRAGON (NT) PTY LTD,Northern Territory DAMA,03-Jun-2024,02-Jun-2029
Kimberley Accommodation (West) Pty Ltd,East Kimberley DAMA,03-Jun-2024,02-Jun-2029
Jungurra Contracting Pty Ltd,Pilbara DAMA,03-Jun-2024,02-Jun-2029
Reid Stockfeeds Pty Ltd,Goulburn Valley DAMA,03-Jun-2024,02-Jun-2029
Lower Freshwater Investments Pty Ltd,Far North Queensland DAMA,03-Jun-2024,02-Jun-2029
SRI OM PTY LTD,Goulburn Valley DAMA,04-Jun-2024,03-Jun-2029
Mahad Pty Ltd,East Kimberley DAMA,04-Jun-2024,03-Jun-2029
CVPC PTY LTD,Company Specific,04-Jun-2024,03-Jun-2029
Bob's Shoe Store Retailing Pty Ltd,East Kimberley DAMA,04-Jun-2024,03-Jun-2029
DARWIN TRAILER BOAT CLUB INC,Northern Territory DAMA,04-Jun-2024,03-Jun-2029
MSM MILLING PTY LTD,Company Specific,04-Jun-2024,03-Jun-2029
NT HAPPY MANGOES PTY LTD,Northern Territory DAMA,04-Jun-2024,03-Jun-2029
Elliott Water Haulage Pty Ltd,Goldfields DAMA,04-Jun-2024,03-Jun-2029
MSJ FOOD PTY LTD,Pilbara DAMA,04-Jun-2024,03-Jun-2029
CREWE SHARP PTY LTD,Industry - On-Hire,04-Jun-2024,03-Jun-2029
BILLET ENGINEERING SERVICES PTY LTD,Goldfields DAMA,05-Jun-2024,04-Jun-2029
BODHI BUS PTY LTD,Northern Territory DAMA,05-Jun-2024,04-Jun-2029
Ryan McLean Constructions Pty Ltd,Townsville DAMA,05-Jun-2024,04-Jun-2029
Scots Kirk Hamilton,Industry - Minister of Religion,05-Jun-2024,04-Jun-2029
HEDLAND POSTAL DELIVERIES PTY LTD,Pilbara DAMA,05-Jun-2024,04-Jun-2029
K D I HOLDINGS PTY LTD,Northern Territory DAMA,05-Jun-2024,04-Jun-2029
Boab Refrigeration & Air Conditioning,East Kimberley DAMA,06-Jun-2024,05-Jun-2029
Pilbara Pressure Force Pty Ltd,Pilbara DAMA,06-Jun-2024,05-Jun-2029
MIRVONA DAIRIES PTY LIMITED,Industry - Dairy,06-Jun-2024,05-Jun-2029
"PHEENEY, MATTHEW",Northern Territory DAMA,06-Jun-2024,05-Jun-2029
Northern Hire Group Pty Ltd,Goulburn Valley DAMA,06-Jun-2024,05-Jun-2029
Little Nuggets Early Learning Centre Inc,East Kimberley DAMA,07-Jun-2024,06-Jun-2029
PERKS INDUSTRIES PTY LTD,East Kimberley DAMA,07-Jun-2024,06-Jun-2029
Altora Ag Services Pty Ltd,Goldfields DAMA,07-Jun-2024,06-Jun-2029
Northern Star Resources Ltd,Goldfields DAMA,11-Jun-2024,10-Jun-2029
PRIYADARSHINEE BABOOLALL,Northern Territory DAMA,11-Jun-2024,10-Jun-2029
BESTBAR PTY LTD,Northern Territory DAMA,11-Jun-2024,10-Jun-2029
T & H Russell Investments Pty Ltd,Pilbara DAMA,11-Jun-2024,10-Jun-2029
TMP TRANSPORT & FARMS PTY LTD,Northern Territory DAMA,11-Jun-2024,10-Jun-2029
Regency Jewellers (Qld) Pty Ltd as the Trustee for Regency Jewellers Trust,Far North Queensland DAMA,11-Jun-2024,10-Jun-2029
Pilbara Physiotherapy Pty Ltd,Pilbara DAMA,11-Jun-2024,10-Jun-2029
Kalgoorlie Consolidated Gold Mines Pty Ltd,Goldfields DAMA,11-Jun-2024,10-Jun-2029
FAST EATS PTY LTD,East Kimberley DAMA,11-Jun-2024,10-Jun-2029
SS & GA Pty Ltd,Northern Territory DAMA,11-Jun-2024,10-Jun-2029
EFUS FOOD & CATERING SERVICES PTY LTD,Northern Territory DAMA,11-Jun-2024,10-Jun-2029
Revive Beauty and Wellness Spa,Pilbara DAMA,12-Jun-2024,11-Jun-2029
Ord Irrigation Co-operative Ltd,East Kimberley DAMA,12-Jun-2024,11-Jun-2029
ARPAD ELDERLY WELFARE SOCIETY INC,Company Specific,12-Jun-2024,11-Jun-2029
The Trustee for Anutara-Angul Carabio Trust,Northern Territory DAMA,12-Jun-2024,11-Jun-2029
CCY (NT) PTY LTD,Northern Territory DAMA,12-Jun-2024,11-Jun-2029
Zanzoo Tiling Pty Ltd,Far North Queensland DAMA,12-Jun-2024,11-Jun-2029
Wunan Foundation Inc.,East Kimberley DAMA,12-Jun-2024,11-Jun-2029
The Trustee for NT Medical Specialist Trust,Northern Territory DAMA,12-Jun-2024,11-Jun-2029
KURUNDI STATION PTY LTD,Northern Territory DAMA,12-Jun-2024,11-Jun-2029
KHEMARA UTTARARANGSI BUDDHIST TEMPLE OF NT INCORPORATED,Industry - Minister of Religion,13-Jun-2024,12-Jun-2029
DART LASER EMPLOYEE PTY LTD,Company Specific,14-Jun-2024,13-Jun-2029
Down South Therapy Services Pty Ltd,Company Specific,14-Jun-2024,13-Jun-2029
TAMARUA PASTORAL CO PTY LTD,Industry - Horticulture,14-Jun-2024,13-Jun-2029
Marina Point Pty Ltd,Far North Queensland DAMA,14-Jun-2024,13-Jun-2029
DAC Enterprises Pty Ltd,Northern Territory DAMA,14-Jun-2024,13-Jun-2029
Terminus Street Pty Ltd,Far North Queensland DAMA,14-Jun-2024,13-Jun-2029
Warrina Lease Co Pty Ltd,Townsville DAMA,14-Jun-2024,13-Jun-2029
NAUTILUS ORTHOPAEDICS PTY LTD,Northern Territory DAMA,14-Jun-2024,13-Jun-2029
Nizomat Pty Ltd,East Kimberley DAMA,14-Jun-2024,13-Jun-2029
CENTRAL FOUNDRY PTY LTD,Company Specific,14-Jun-2024,13-Jun-2029
Surfmet Pty Ltd,East Kimberley DAMA,17-Jun-2024,16-Jun-2029
Mr Bean Catering Pty Ltd,Northern Territory DAMA,17-Jun-2024,16-Jun-2029
Garrett Hospitality Pty Ltd,East Kimberley DAMA,17-Jun-2024,16-Jun-2029
Major Personnel Services Pty Ltd,Far North Queensland DAMA,17-Jun-2024,16-Jun-2029
SEASHELLS RESORT BROOME PTY LTD,East Kimberley DAMA,17-Jun-2024,16-Jun-2029
AQUATIC CULTURE PTY LTD,Far North Queensland DAMA,18-Jun-2024,17-Jun-2029
Harlin Nominees Pty Ltd & Moonlite NT Pty Ltd,Northern Territory DAMA,18-Jun-2024,17-Jun-2029
BLIMEY CHARLIE PTY LTD,Northern Territory DAMA,18-Jun-2024,17-Jun-2029
Magnetic Island Micro Brewery,Townsville DAMA,18-Jun-2024,17-Jun-2029
Hemingway's Brewery FNQ Pty Ltd,Far North Queensland DAMA,18-Jun-2024,17-Jun-2029
Harvest Workers Pty Ltd,Industry - Horticulture,18-Jun-2024,17-Jun-2029
H Randhawa & P Randhawa,Far North Queensland DAMA,18-Jun-2024,17-Jun-2029
CARERS N.T. LIMITED,Northern Territory DAMA,18-Jun-2024,17-Jun-2029
Vegie Bandits PTY Ltd,Skilled Refugee Pilot,18-Jun-2024,17-Jun-2029
CHEZ ICHIBAN PTY LTD,Far North Queensland DAMA,18-Jun-2024,17-Jun-2029
THE KALCULATORS IP PTY LTD,South Australia Regional DAMA,19-Jun-2024,18-Jun-2029
Superior Food Group Pty Ltd,Pilbara DAMA,19-Jun-2024,18-Jun-2029
Ozcare,Far North Queensland DAMA,19-Jun-2024,19-Jun-2029
DJ & JE Bowler,Industry - Dairy,19-Jun-2024,18-Jun-2029
CAPEWELL PTY LTD,Goldfields DAMA,16-Oct-2024,15-Oct-2029
DECC PTY LTD,Orana DAMA,16-Oct-2024,15-Oct-2029
Mitech Engineering Services Pty Ltd,Industry - Dairy,15-Oct-2024,14-Oct-2029
Global Growth Solutions Pty Ltd,Pilbara DAMA,15-Jul-2024,14-Jul-2029
GENERAL EXCAVATORS PTY. LIMITED,Northern Territory DAMA,15-Oct-2024,14-Oct-2029
CAPTA GROUP PTY LTD,Far North Queensland DAMA,15-Oct-2024,14-Oct-2029
JAG CENTRAL WEST TRANSPORT PTY LTD,Orana DAMA,15-Oct-2024,14-Oct-2029
PACIFIC MEAT SALES PTY LTD,Industry - Meat,14-Oct-2024,13-Oct-2029
Peel Resource Recovery Pty Ltd,South West DAMA,25-Jun-2024,24-Jun-2029
SERBIAN COMMUNITY WELFARE ASSOCIATION OF SA INC,Industry - Aged Care,12-Sep-2024,11-Sep-2029
SEEN CARE PROVIDER PTY LTD,Company Specific,19-Jul-2024,18-Jul-2029
La Anchor Pty Ltd,South West DAMA,09-Oct-2024,08-Oct-2029
AUTO-CARE PANEL WORKS PTY LIMITED,Northern Territory DAMA,14-Oct-2024,13-Oct-2029
Three Tree Lodge Lithgow Limited,Industry - Aged Care,17-Sep-2024,16-Sep-2029
ADERMINA PTY LTD,Far North Queensland DAMA,18-Jul-2024,17-Jul-2029
VALLEY PACK PTY LTD,Goulburn Valley DAMA,08-Oct-2024,07-Oct-2029
BHUPINDER S & JASWINDER S TAKHAR,South Australia Regional DAMA,14-Oct-2024,13-Oct-2029
ICARE YOUTH AND COMMUNITY SERVICES PTY LTD,Northern Territory DAMA,21-Aug-2024,20-Aug-2029
ABU CARE SERVICES PTY LTD,South Australia Regional DAMA,11-Sep-2024,10-Sep-2029
Brisbane Cantonese Christian Church Incorporated,Industry - Minister of Religion,10-Oct-2024,09-Oct-2029
Cranbrook Care (Bella Vista Gardens) Pty Ltd,Industry - Aged Care,03-Sep-2024,02-Sep-2029
LOHGARH ENTERPRISE PTY LTD,Industry - Horticulture,26-Jun-2024,25-Jun-2029
TEAM GLOBAL EXPRESS PTY LTD,Townsville DAMA,15-Jul-2024,14-Jul-2029
ACCOR AUSTRALIA & NEW ZEALAND HOSPITALITY PTY LIMITED,Far North Queensland DAMA,08-Jul-2024,07-Jul-2029
WC VENTURES PTY LIMITED,Orana DAMA,25-Sep-2024,24-Sep-2029
CUSTOM WINE MAKING PTY LTD,South West DAMA,23-Aug-2024,22-Aug-2029
Brett Cattle Company Pty Ltd,Northern Territory DAMA,09-Oct-2024,08-Oct-2029
Metro Care SA Pvt Ltd,South Australia Regional DAMA,09-Aug-2024,08-Aug-2029
CAUDURO MANAGEMENT PTY LTD,Orana DAMA,09-Sep-2024,08-Sep-2029
DALWOOD NURSERY PTY LTD,Industry - Horticulture,26-Jul-2024,25-Jul-2029
NORTHERN TERRITORY OF AUSTRALIA,Northern Territory DAMA,23-Sep-2024,22-Sep-2029
T & M Canale Farms Pty Ltd,Industry - Horticulture,17-Sep-2024,16-Sep-2029
G D & L J O'Brien,Industry - Horticulture,05-Aug-2024,04-Aug-2029
MELBOURNE CITY INSTITUTE PTY LTD,Adelaide City Tech and Innovation DAMA,09-Oct-2024,08-Oct-2029
ML CROWSTON PTY LTD,South Australia Regional DAMA,23-Sep-2024,22-Sep-2029
PACIFIC OCEAN RANCH PTY LTD,Industry - Fishing,06-Sep-2024,05-Sep-2029
Keller Pty Ltd,GTS - Established business,27-Sep-2024,26-Sep-2029
Hedland Harbour Industries Pty Ltd,Pilbara DAMA,24-Sep-2024,23-Sep-2029
Samadhi Sathkara Incorporated,Industry - Minister of Religion,27-Sep-2024,26-Sep-2029
ANM BUSINESS SERVICES PTY LTD,Goulburn Valley DAMA,28-Jun-2024,27-Jun-2029
AL JANNAH DA'WAH CENTRE,Industry - Minister of Religion,04-Oct-2024,03-Oct-2029
R S & G SINGH PTY LTD,Far North Queensland DAMA,22-Jul-2024,21-Jul-2029
Kimberley Care Group Pty Ltd,East Kimberley DAMA,27-Sep-2024,26-Sep-2029
J.M MCFADDEN & B.J NEILSON,East Kimberley DAMA,15-Jul-2024,14-Jul-2029
Xanadu Wines Pty Ltd,South West DAMA,16-Aug-2024,15-Aug-2029
Quinn Trading Pty Ltd,Northern Territory DAMA,13-Sep-2024,12-Sep-2029
TOWNSVILLE MARINE PTY LTD,Townsville DAMA,30-Aug-2024,29-Aug-2029
TERRITORY CARE PTY LTD,Northern Territory DAMA,26-Jun-2024,25-Jun-2029
Sailing Whitsundays Pty Ltd,Far North Queensland DAMA,10-Jul-2024,09-Jul-2029
Presbyterian Church of Australia in the State of NSW Parish of Murray,Industry - Minister of Religion,14-Oct-2024,13-Oct-2029
QUARTERMAINE PTY LTD,Far North Queensland DAMA,21-Jun-2024,20-Jun-2029
Reidy's Bananas Pty Ltd,Far North Queensland DAMA,28-Jun-2024,27-Jun-2029
G.G SPENA & S.E SPENA,Far North Queensland DAMA,09-Aug-2024,08-Aug-2029
YAMBUNA DOWNS PTY LTD,Industry - Dairy,25-Jun-2024,24-Jun-2029
AGRI WORKFORCE SOLUTIONS PTY LTD,Industry - On-Hire,16-Aug-2024,15-Aug-2029
Brahma Kumaris Centres for Spiritual Learning,Industry - Minister of Religion,04-Oct-2024,03-Oct-2029
Territory Traffic Management PTY LTD,Northern Territory DAMA,23-Jul-2024,22-Jul-2029
Cropline Group Pty Ltd,Pilbara DAMA,08-Oct-2024,07-Oct-2029
THE HINDU SOCIETY OF VICTORIA (AUSTRALIA) INC,Industry - Minister of Religion,27-Sep-2024,26-Sep-2029
AUSTRALIA AGRICULTURAL INVESTMENT GROUP PTY LTD,South Australia Regional DAMA,19-Aug-2024,18-Aug-2029
DALMORE DAIRY PTY LTD,Industry - Dairy,02-Aug-2024,01-Aug-2029
Pist4cchi,Far North Queensland DAMA,24-Jun-2024,23-Jun-2029
AUSTRALIAN QUALITY EXPORTERS PTY LTD,Northern Territory DAMA,28-Jun-2024,27-Jun-2029
PULSONI ORCHARDS PTY LTD,Goulburn Valley DAMA,25-Jun-2024,24-Jun-2029
All States Towing & Salvage Pty Ltd,Orana DAMA,01-Oct-2024,30-Sep-2029
ROBERT WALTERS PTY LTD,Industry - On-Hire,24-Jun-2024,23-Jun-2029
Hillarie Pty Ltd,Northern Territory DAMA,20-Aug-2024,19-Aug-2029
Luna and Co Cafe,Northern Territory DAMA,18-Jul-2024,17-Jul-2029
Il Chiosco Pty Ltd,Far North Queensland DAMA,05-Aug-2024,04-Aug-2029
Insight Early Learning Darwin Pty Ltd,Northern Territory DAMA,24-Sep-2024,23-Sep-2029
Essential Labour Solutions Pty Ltd,Industry - On-Hire,29-Jul-2024,28-Jul-2029
ESBJORN CO PTY LTD,Industry - Fishing,12-Sep-2024,11-Sep-2029
PEDN MORRIS PTY LTD,Industry - On-Hire,27-Aug-2024,26-Aug-2029
H Randhawa & P Randhawa,Industry - Horticulture,28-Jun-2024,27-Jun-2029
DAMDAY PTY LTD,Northern Territory DAMA,25-Sep-2024,24-Sep-2029
TEKTON SOLUTIONS PTY LTD,South Australia Regional DAMA,14-Aug-2024,13-Aug-2029
T. R. SAMUELS TRANSPORT PTY LIMITED,Skilled Refugee Pilot,25-Jul-2024,24-Jul-2029
Hola Support Services,South Australia Regional DAMA,10-Jul-2024,09-Jul-2029
Southern Barn Pty Ltd,South Australia Regional DAMA,05-Sep-2024,04-Sep-2029
RNK ZEALOT PTY LTD,Great South Coast DAMA,30-Aug-2024,29-Aug-2029
JUSREN HOLDINGS PTY LTD,East Kimberley DAMA,11-Jul-2024,10-Jul-2029
JYOTHI PTY LTD,South West DAMA,06-Aug-2024,05-Aug-2029
Summit Bakehouse Pty Ltd,Northern Territory DAMA,16-Aug-2024,15-Aug-2029
PRIMA FRESHPAK PTY LTD,Goulburn Valley DAMA,11-Jul-2024,10-Jul-2029
BOTTLES & CANS (WA) PTY LTD,Goldfields DAMA,27-Sep-2024,26-Sep-2029
MAHAMEVNAWA BUDDHIST MEDITATION CENTRE ADELAIDE LTD,Industry - Minister of Religion,12-Sep-2024,11-Sep-2029
PearlRestaurants Pty Ltd,East Kimberley DAMA,06-Aug-2024,05-Aug-2029
CHAMBERS TRADE SERVICES PTY LTD,Northern Territory DAMA,09-Sep-2024,08-Sep-2029
VISNA T MANAGEMENT PTY LTD,Industry - On-Hire,22-Aug-2024,21-Aug-2029
Daisy Child Care Pty Ltd,South West DAMA,06-Aug-2024,05-Aug-2029
Kimoh Ent Pty Ltd,Far North Queensland DAMA,26-Jun-2024,25-Jun-2029
HROMEK PTY LTD,Townsville DAMA,23-Jul-2024,22-Jul-2029
Trayhern Family Investments Pty Ltd,Northern Territory DAMA,09-Aug-2024,08-Aug-2029
RJ & JM Riddell Pty Ltd,Industry - Horticulture,26-Aug-2024,25-Aug-2029
Earlville Trading Pty Ltd,Far North Queensland DAMA,19-Jul-2024,18-Jul-2029
INDEPENDENT CHOICE CONTROL (ICC) PTY LTD,Northern Territory DAMA,21-Aug-2024,20-Aug-2029
Jay Ambe Aus Pty Ltd,Far North Queensland DAMA,19-Jul-2024,18-Jul-2029
Knight Fuel Pty Ltd,Townsville DAMA,30-Jul-2024,29-Jul-2029
Hair Obsession Nightcliff Pty Ltd,Northern Territory DAMA,05-Sep-2024,04-Sep-2029
QUBE ENERGY PTY LTD,Northern Territory DAMA,22-Jul-2024,21-Jul-2029
HOURIGAN DAIRY COMPANY PTY LTD,Industry - Dairy,28-Jun-2024,27-Jun-2029
MDM (WA) Pty Ltd,Pilbara DAMA,30-Jul-2024,29-Jul-2029
Murray Mallee Aged Care Group Inc.,South Australia Regional DAMA,18-Jul-2024,17-Jul-2029
Infinite Ability Pty Ltd,Company Specific,05-Sep-2024,04-Sep-2029
Australian Wildflowers Pty Ltd,Company Specific,02-Aug-2024,01-Aug-2029
VYNBAN PTY LTD,Industry - Fishing,21-Jun-2024,20-Jun-2029
THE TRUSTEE FOR JANEFIELD TRUST,Industry - Dairy,04-Oct-2024,03-Oct-2029
THE SALVATION ARMY (NEW SOUTH WALES) PROPERTY TRUST,Far North Queensland DAMA,20-Jun-2024,19-Jun-2029
MGW Engineering Pty Ltd,Orana DAMA,19-Jul-2024,18-Jul-2029
RETAINING SPECIALISTS PTY LIMITED,Company Specific,03-Jul-2024,02-Jul-2029
TEHGO PTY LTD,Northern Territory DAMA,18-Jul-2024,17-Jul-2029
FLUTES AND FLUTISTS PTY LTD,Company Specific,20-Sep-2024,19-Sep-2029
Way Of Humanity Pty Ltd,Company Specific,08-Jul-2024,07-Jul-2029
Mehar Admella Pty Ltd,Great South Coast DAMA,24-Jun-2024,23-Jun-2029
EMU MOOS PTY LTD,Industry - Dairy,23-Jul-2024,22-Jul-2029
Darwin Railway Sports & Social Club Inc,Northern Territory DAMA,30-Sep-2024,29-Sep-2029
SOUTHERN CROSS CARE (NSW & ACT) LIMITED,Industry - Aged Care,10-Sep-2024,09-Sep-2029
PROCLOZ PTY LTD,Industry - On-Hire,27-Aug-2024,26-Aug-2029
STELLARIS CONSULTING AUSTRALIA PTY LTD,Industry - On-Hire,17-Sep-2024,16-Sep-2029
THE TRUSTEE FOR SINGH & SHETRA FAMILY TRUST,Industry - Horticulture,04-Oct-2024,03-Oct-2029
2REALIT PTY LTD,Industry - Aged Care,17-Sep-2024,16-Sep-2029
STEPHEN G & KERRYANNE ALLMAN,Industry - Dairy,16-Aug-2024,15-Aug-2029
The Trustee For Talangi Trust,South Australia Regional DAMA,23-Sep-2024,22-Sep-2029
Harvest Pub Operations Pty Ltd,Orana DAMA,30-Aug-2024,29-Aug-2029
WOOMBYE CARE INC,Industry - Aged Care,18-Jul-2024,17-Jul-2029
TERRITORY HEALTH AND SUPPORT PTY LTD,Northern Territory DAMA,09-Oct-2024,08-Oct-2029
PRIMA FRESH ORCHARDS & COOLSTORES PTY LTD,Goulburn Valley DAMA,02-Jul-2024,01-Jul-2029
Old Bill's Food and Beverage Pty Ltd,Great South Coast DAMA,30-Aug-2024,29-Aug-2029
Modern Bricklaying Development Pty Ltd,Skilled Refugee Pilot,12-Jul-2024,11-Jul-2029
Mano Wraps Pty Ltd,South West DAMA,08-Aug-2024,07-Aug-2029
SERENE COUNTRY LIVING PTY LTD,South Australia Regional DAMA,03-Sep-2024,02-Sep-2029
Noosacare Inc.,Industry - Aged Care,27-Aug-2024,26-Aug-2029
Kairos Care Pty Ltd,Industry - Aged Care,12-Sep-2024,11-Sep-2029
Joy Methodist Church Inc.,Industry - Minister of Religion,24-Sep-2024,23-Sep-2029
MINYA BUNHII INCORPORATED,South Australia Regional DAMA,23-Sep-2024,22-Sep-2029
ERIZON PTY LTD,Industry - Horticulture,08-Jul-2024,07-Jul-2029
Lucaston Park Orchards Pty Ltd,Industry - Horticulture,01-Aug-2024,31-Jul-2029
HUNTER BIBLE CHURCH ASSOCIATION INC,Industry - Minister of Religion,27-Sep-2024,26-Sep-2029
AVS PRODUCTIONS (AUSTRALASIA),Industry - Minister of Religion,12-Sep-2024,11-Sep-2029
Saltbush Pastoral Services Pty Ltd,South Australia Regional DAMA,30-Aug-2024,29-Aug-2029
Equans Axima Australia Pty Ltd,South Australia Regional DAMA,17-Sep-2024,16-Sep-2029
INDONESIAN FAMILY CHURCH,Industry - Minister of Religion,11-Oct-2024,10-Oct-2029
HJK Farms Pty Ltd,South Australia Regional DAMA,12-Aug-2024,11-Aug-2029
Northern Adelaide Waste Management Authority,South Australia Regional DAMA,11-Sep-2024,10-Sep-2029
GLOBAL CONTRACTOR MANAGEMENT SOLUTIONS,Industry - On-Hire,04-Oct-2024,03-Oct-2029
MQE GROUP Pty Ltd,Orana DAMA,12-Sep-2024,11-Sep-2029
Port Gawler Produce Pty Ltd,South Australia Regional DAMA,30-Sep-2024,29-Sep-2029
HAPPY HIPPO CHILDCARE LB PTY LTD,Company Specific,19-Jul-2024,18-Jul-2029
Adam Peter Gilbert,Far North Queensland DAMA,05-Jul-2024,04-Jul-2029
SKY FUELS PTY LTD,South Australia Regional DAMA,06-Sep-2024,05-Sep-2029
ABORIGINAL ELDERS & COMMUNITY CARE SERVICES INC,South Australia Regional DAMA,30-Aug-2024,29-Aug-2029
NSK Pizza Group Pty Ltd,Goulburn Valley DAMA,20-Jun-2024,19-Jun-2029
ESTIA INVESTMENTS PTY. LTD.,Skilled Refugee Pilot,30-Sep-2024,29-Sep-2029
SINGH ARIK PTY LTD,South Australia Regional DAMA,06-Sep-2024,05-Sep-2029
SRSG PTY LTD,South Australia Regional DAMA,01-Aug-2024,31-Jul-2029
The Trustee for JRL Pace Trust,Northern Territory DAMA,19-Jul-2024,18-Jul-2029
The Trustee for THE T J S CRIMP TRUST,Industry - Dairy,20-Aug-2024,19-Aug-2029
CENTURY AUTO GROUP PTY LTD,Goulburn Valley DAMA,09-Oct-2024,08-Oct-2029
BAROSSA VILLAGE INC,South Australia Regional DAMA,09-Sep-2024,08-Sep-2029
Category 5 Labour Management (VSA) Pty Ltd,Pilbara DAMA,11-Jul-2024,10-Jul-2029
ALICE FASHION PTY. LTD.,Northern Territory DAMA,09-Sep-2024,08-Sep-2029
ROCK & K AUTOMOTIVE PTY LTD,Goulburn Valley DAMA,07-Oct-2024,06-Oct-2029
VLI Conveyors Pty Limited,Goldfields DAMA,03-Sep-2024,02-Sep-2029
Serco Australia Pty Limited,GTS - Established business,09-Oct-2024,08-Oct-2029
AURRUM PTY. LIMITED,Company Specific,02-Jul-2024,01-Jul-2029
G & I Enterprises Pty Ltd,Goulburn Valley DAMA,28-Jun-2024,27-Jun-2029
SD HARVESTING PTY LTD,Townsville DAMA,19-Jul-2024,18-Jul-2029
OJI FIBRE SOLUTIONS (AUS) PTY LTD,Far North Queensland DAMA,15-Jul-2024,14-Jul-2029
GURU BROTHERS FOOD AND LIQUOR MERCHANT PTY LTD,Pilbara DAMA,25-Jun-2024,24-Jun-2029
iExcel Support Pty Ltd,Far North Queensland DAMA,25-Sep-2024,24-Sep-2029
SHARK BAY SEAFOODS PTY LTD,Industry - Fishing,19-Aug-2024,18-Aug-2029
Wong Brothers Investments Pty Ltd,Townsville DAMA,10-Oct-2024,09-Oct-2029
MILLS CORPORATION PTY LTD,Industry - On-Hire,17-Sep-2024,16-Sep-2029
MCMAHON FAMILY ENTERPRISES PTY LTD,South Australia Regional DAMA,13-Sep-2024,12-Sep-2029
Cowabunga Drinks Pty Ltd,South West DAMA,24-Jun-2024,23-Jun-2029
Bayswater Gardens Pty Ltd,Industry - Aged Care,03-Sep-2024,02-Sep-2029
SAMEAL PTY LTD,South Australia Regional DAMA,01-Oct-2024,30-Sep-2029
COUNTRY VIEW DAIRY PTY LTD,Industry - Dairy,12-Jul-2024,11-Jul-2029
Bay of Isles Community Outreach Inc.,Goldfields DAMA,03-Sep-2024,02-Sep-2029
AP Skye Pty Ltd,South Australia Regional DAMA,16-Aug-2024,15-Aug-2029
CPR Group Australia Pty Ltd,Skilled Refugee Pilot,22-Jun-2024,21-Jun-2029
Bluewater Hotel Pty Ltd,Far North Queensland DAMA,03-Sep-2024,02-Sep-2029
CENTURY PRODUCTS (S.A.) PROPRIETARY LIMITED,Adelaide City Tech and Innovation DAMA,03-Sep-2024,02-Sep-2029
Junction 8 Pty Ltd,Northern Territory DAMA,28-Jun-2024,27-Jun-2029
NURSING SOLUTIONS GROUP PTY LTD,Industry - On-Hire,12-Sep-2024,11-Sep-2029
"JASPAL SINGH GHUMAN, NARINDER KAUR GHUMAN",Industry - Horticulture,28-Aug-2024,27-Aug-2029
DARWIN TUBULAR PRODUCTS PTY. LTD.,Northern Territory DAMA,25-Jun-2024,24-Jun-2029
NORTHLINE PARTNERSHIP,Northern Territory DAMA,20-Aug-2024,19-Aug-2029
A.M MURNANE & G.J RYAN,Industry - Dairy,07-Aug-2024,06-Aug-2029
CASUARINA FRESH FOOD PTY LTD,Northern Territory DAMA,23-Aug-2024,22-Aug-2029
MIDFIELD FOOD SERVICES PTY LTD,South Australia Regional DAMA,23-Sep-2024,22-Sep-2029
RJW Friend Fishing Pty Ltd,Industry - Fishing,22-Jun-2024,21-Jun-2029
NT INVESTA GROUP PTY LTD,Northern Territory DAMA,30-Aug-2024,29-Aug-2029
THICH TAM CORPORATION PTY LTD,South Australia Regional DAMA,10-Sep-2024,09-Sep-2029
Redondo Pty Ltd,Northern Territory DAMA,24-Sep-2024,23-Sep-2029
Nerada Services PTY LTD,Far North Queensland DAMA,18-Jul-2024,17-Jul-2029
888 Abalone Pty Ltd,Industry - Fishing,18-Jul-2024,17-Jul-2029
AVT RESOURCES PTY LTD,Industry - On-Hire,27-Aug-2024,26-Aug-2029
SKILLED LINEMARKING & TRAFFIC CONTROL PTY LTD,Northern Territory DAMA,14-Oct-2024,13-Oct-2029
P.M. & C.E. GRINTER PTY LTD,Industry - Dairy,28-Jun-2024,27-Jun-2029
PJ & NA STRAHAN PTY LTD,South West DAMA,26-Sep-2024,25-Sep-2029
The Cowandilla Christian and Missionary Alliance Church of South Australia Incorporated,Industry - Minister of Religion,10-Oct-2024,09-Oct-2029
Mount Isa Day Nursery and Kindergarten Inc,Townsville DAMA,04-Sep-2024,03-Sep-2029
RAROYA PTY LTD,Northern Territory DAMA,01-Oct-2024,30-Sep-2029
Bhatti Trucking Pty Ltd,Goulburn Valley DAMA,23-Aug-2024,22-Aug-2029
BSCL GROUP PTY LTD,Orana DAMA,23-Aug-2024,22-Aug-2029
Sovereign Resort Hotel Pty Ltd,Far North Queensland DAMA,27-Aug-2024,26-Aug-2029
Specialized Electrical Pty Ltd,Orana DAMA,31-Jul-2024,30-Jul-2029
CRUISER AUTO SERVICES PTY LTD,Northern Territory DAMA,10-Oct-2024,09-Oct-2029
CARE AND HOUSING PTY LTD,South Australia Regional DAMA,10-Sep-2024,09-Sep-2029
TRIPLE J RISING PTY LIMITED,Orana DAMA,28-Jun-2024,27-Jun-2029
KHEMARARANGSI BUDDHIST TEMPLE OF THE ACT INCORPORATED,Industry - Minister of Religion,15-Oct-2024,14-Oct-2029
HUNTER VALLEY CARE PTY. LIMITED,Industry - Aged Care,23-Sep-2024,22-Sep-2029
Jacob Family Group Pty Ltd,South West DAMA,10-Jul-2024,09-Jul-2029
